case,openings,hammer_events,trr_events,para_events,bitflips,critical_bitflips,noncritical_bitflips,critical_trr_events,noncritical_trr_events,critical_para_events,noncritical_para_events,budget_blocks,budget_resets,prob_checks,prob_successes,para_checks,para_successes,budget_used_final_window,memory_system_cycles,num_read_reqs_0,read_latency_0,avg_read_latency_0,queue_len_avg_0,read_queue_len_avg_0,priority_queue_len_avg_0,row_conflicts_0,read_row_conflicts_0,row_misses_0,read_row_misses_0,row_hits_0,read_row_hits_0
para_uniform_h1_ps1_linear_nr64,76,76,0,4,39,4,35,0,0,0,4,0,0,145,39,149,4,0/32,188225,72,9983,138.652771,0.0480648167,0.0446008779,0.00346393953,40,40,32,32,0,0
para_uniform_h1_ps1_sigmoid_nr1024,76,76,0,4,6,0,6,0,0,0,4,0,0,148,6,152,4,0/32,188231,72,10032,139.333328,0.0485892333,0.0451254062,0.00346382894,41,41,31,31,0,0
para_uniform_h1_ps1_sigmoid_nr128,76,76,0,4,16,0,16,0,0,0,4,0,0,146,16,150,4,0/32,188233,72,10064,139.777771,0.0487215295,0.0452577397,0.00346379215,41,41,31,31,0,0
para_uniform_h1_ps1_sigmoid_nr256,76,76,0,4,8,0,8,0,0,0,4,0,0,148,8,152,4,0/32,188231,72,10032,139.333328,0.0485892333,0.0451254062,0.00346382894,41,41,31,31,0,0
para_uniform_h1_ps1_sigmoid_nr64,76,76,0,4,18,2,16,0,0,0,4,0,0,145,18,149,4,0/32,188225,72,9983,138.652771,0.0480648167,0.0446008779,0.00346393953,40,40,32,32,0,0
para_uniform_h1_ps1_step_nr1024,76,76,0,4,148,9,139,0,0,0,4,0,0,148,148,152,4,0/32,188231,72,10032,139.333328,0.0485892333,0.0451254062,0.00346382894,41,41,31,31,0,0
para_uniform_h1_ps1_step_nr128,76,76,0,4,146,9,137,0,0,0,4,0,0,146,146,150,4,0/32,188233,72,10064,139.777771,0.0487215295,0.0452577397,0.00346379215,41,41,31,31,0,0
para_uniform_h1_ps1_step_nr256,76,76,0,4,148,9,139,0,0,0,4,0,0,148,148,152,4,0/32,188231,72,10032,139.333328,0.0485892333,0.0451254062,0.00346382894,41,41,31,31,0,0
para_uniform_h1_ps1_step_nr64,76,76,0,4,145,9,136,0,0,0,4,0,0,145,145,149,4,0/32,188225,72,9983,138.652771,0.0480648167,0.0446008779,0.00346393953,40,40,32,32,0,0
para_uniform_h1_ps2_linear_nr1024,78,78,0,6,0,0,0,0,0,0,6,0,0,4,0,156,6,0/32,188363,72,12455,172.986115,0.0629900768,0.0579784773,0.00501159998,41,41,31,31,0,0
para_uniform_h1_ps2_linear_nr128,76,76,0,4,13,0,13,0,0,0,4,0,0,53,13,150,4,0/32,188215,72,9978,138.583328,0.0478867255,0.0444226004,0.00346412347,42,42,30,30,0,0
para_uniform_h1_ps2_linear_nr256,78,78,0,6,4,0,4,0,0,0,6,0,0,27,4,156,6,0/32,188374,72,12265,170.347229,0.0616592541,0.0566054769,0.00505377585,39,39,33,33,0,0
